edition	source_digest	set_kind	set_name	set_template_type	applicable_entity	predefined_type	includes_subtypes	member_path	member_kind	value_type	unit_type	source_path	source_file_digest
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActionRequest	type-driven-override	IfcActionRequest		true	RequestComments	single	IfcText		psd/Pset_ActionRequest.xml	9ca742eda7becf56430605ea996ec2b11f1c18cea7412fba87e4458f662e15ff
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActionRequest	type-driven-override	IfcActionRequest		true	RequestSourceLabel	single	IfcLabel		psd/Pset_ActionRequest.xml	9ca742eda7becf56430605ea996ec2b11f1c18cea7412fba87e4458f662e15ff
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActionRequest	type-driven-override	IfcActionRequest		true	RequestSourceName	reference	IfcPerson		psd/Pset_ActionRequest.xml	9ca742eda7becf56430605ea996ec2b11f1c18cea7412fba87e4458f662e15ff
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActorCommon	type-driven-override	IfcActor		true	Category	single	IfcLabel		psd/Pset_ActorCommon.xml	221f3532e6ff74d8eb814d1544cd4749793db1f458e9424ea56be95fce9647bf
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActorCommon	type-driven-override	IfcActor		true	NumberOfActors	single	IfcCountMeasure		psd/Pset_ActorCommon.xml	221f3532e6ff74d8eb814d1544cd4749793db1f458e9424ea56be95fce9647bf
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActorCommon	type-driven-override	IfcActor		true	SkillLevel	single	IfcLabel		psd/Pset_ActorCommon.xml	221f3532e6ff74d8eb814d1544cd4749793db1f458e9424ea56be95fce9647bf
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActuatorPHistory	performance-driven	IfcActuator		true	Position	reference	IfcTimeSeries		psd/Pset_ActuatorPHistory.xml	d03cb17eff77144069f143f7413c9d39637750ebe0e6a28e8c0d38cf59d06ca6
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActuatorPHistory	performance-driven	IfcActuator		true	Quality	reference	IfcTimeSeries		psd/Pset_ActuatorPHistory.xml	d03cb17eff77144069f143f7413c9d39637750ebe0e6a28e8c0d38cf59d06ca6
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActuatorPHistory	performance-driven	IfcActuator		true	Status	reference	IfcTimeSeries		psd/Pset_ActuatorPHistory.xml	d03cb17eff77144069f143f7413c9d39637750ebe0e6a28e8c0d38cf59d06ca6
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActuatorTypeCommon	type-driven-override	IfcActuator		true	Application	enumerated	PEnum_ActuatorApplication		psd/Pset_ActuatorTypeCommon.xml	bdeb4c4222365d1181e2c59f212356e7ee609573bd3593afe32ab4423286d85f
