resource	kind	name	abstract	type_kind	bridge_owner	neutral_owner	status
ifcgeometryresource	type	ifcarcindex	false	defined	curve::polyline	geom-model	modeled-type
ifcgeometryresource	function	ifcassociatedsurface	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	entity	ifcaxis1placement	false	-	resource::placement	geom-core	view-or-family
ifcgeometryresource	type	ifcaxis2placement	false	select	resource::placement	geom-core	modeled-type
ifcgeometryresource	entity	ifcaxis2placement2d	false	-	resource::placement	geom-core	view-or-family
ifcgeometryresource	entity	ifcaxis2placement3d	false	-	resource::placement	geom-core	view-or-family
ifcgeometryresource	function	ifcbaseaxis	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	entity	ifcboundarycurve	false	-	curve::composite	geom-curve + geom-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifcboundedcurve	true	-	select::subtype	geom-curve + geom-model::CurveRelation	inventory
ifcgeometryresource	entity	ifcboundedsurface	true	-	surface::bounded	geom-surface + geom-model::SurfaceRelation	inventory
ifcgeometryresource	entity	ifcbsplinecurve	true	-	curve::bspline	geom-curve + geom-model::CurveRelation	inventory
ifcgeometryresource	type	ifcbsplinecurveform	false	enum	curve::bspline	geom-curve + geom-model::CurveRelation	modeled-type
ifcgeometryresource	entity	ifcbsplinecurvewithknots	false	-	curve::bspline	geom-curve + geom-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifcbsplinesurface	true	-	surface::bspline	geom-surface + geom-model::SurfaceRelation	inventory
ifcgeometryresource	type	ifcbsplinesurfaceform	false	enum	surface::bspline	geom-surface + geom-model::SurfaceRelation	modeled-type
ifcgeometryresource	entity	ifcbsplinesurfacewithknots	false	-	surface::bspline	geom-surface + geom-model::SurfaceRelation	view-or-family
ifcgeometryresource	function	ifcbuild2axes	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	function	ifcbuildaxes	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	entity	ifccartesianpoint	false	-	resource::point	geom-core	view-or-family
ifcgeometryresource	entity	ifccartesiantransformationoperator	true	-	resource::operator	geom-core	inventory
ifcgeometryresource	entity	ifccartesiantransformationoperator2d	false	-	resource::operator	geom-core	view-or-family
ifcgeometryresource	entity	ifccartesiantransformationoperator2dnonuniform	false	-	resource::operator	geom-core	view-or-family
ifcgeometryresource	entity	ifccartesiantransformationoperator3d	false	-	resource::operator	geom-core	view-or-family
ifcgeometryresource	entity	ifccartesiantransformationoperator3dnonuniform	false	-	resource::operator	geom-core	view-or-family
ifcgeometryresource	entity	ifccircle	false	-	curve	geom-curve + geom-model::CurveRelation	view-or-family
